Statistical profiling result from ./isolate-0x4096ce0-v8.log, (3463 ticks, 168 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
    440   12.7%  Stub: StringAddStub_CheckNone_NotTenured
    440  100.0%    LazyCompile: *derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
    440  100.0%      Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:24:33
    440  100.0%        Function: ~runOrigDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:31:24
    440  100.0%          Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29
    440  100.0%            Function: ~<anonymous> /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:1:11

    398   11.5%  Builtin: KeyedLoadIC_Megamorphic
    201   50.5%    Handler: prototype
    201  100.0%      Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/fixed_cycle.js:24:33
    201  100.0%        Function: ~runFixedDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:37:25
    201  100.0%          Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29
    201  100.0%            Function: ~<anonymous> /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:1:11
    197   49.5%    LazyCompile: *derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
    197  100.0%      Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:24:33
    197  100.0%        Function: ~runOrigDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:31:24
    197  100.0%          Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29
    197  100.0%            Function: ~<anonymous> /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:1:11

    290    8.4%  LazyCompile: *derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
    187   64.5%    Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:24:33
    187  100.0%      Function: ~runOrigDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:31:24
    187  100.0%        Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29
    187  100.0%          Function: ~<anonymous> /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:1:11
    187  100.0%            Function: ~Module._compile module.js:530:37
    103   35.5%    LazyCompile: *derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
    103  100.0%      Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:24:33
    103  100.0%        Function: ~runOrigDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:31:24
    103  100.0%          Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29
    103  100.0%            Function: ~<anonymous> /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:1:11

    287    8.3%  v8::internal::IntToCString(int, v8::internal::Vector<char>)
    287  100.0%    v8::internal::Runtime_NumberToString(int, v8::internal::Object**, v8::internal::Isolate*)
    287  100.0%      LazyCompile: *derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
    287  100.0%        Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:24:33
    287  100.0%          Function: ~runOrigDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:31:24
    287  100.0%            Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29

    176    5.1%  v8::internal::Heap::AllocateRawOneByteString(int, v8::internal::PretenureFlag)
    175   99.4%    v8::internal::Runtime_NumberToString(int, v8::internal::Object**, v8::internal::Isolate*)
    175  100.0%      LazyCompile: *derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
    175  100.0%        Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:24:33
    175  100.0%          Function: ~runOrigDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:31:24
    175  100.0%            Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29

    168    4.9%  UNKNOWN

    152    4.4%  v8::internal::(anonymous namespace)::CopyObjectToObjectElements(v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, int)
    152  100.0%    v8::internal::Runtime_GrowArrayElements(int, v8::internal::Object**, v8::internal::Isolate*)
    152  100.0%      LazyCompile: *derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
    152  100.0%        Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:24:33
    152  100.0%          Function: ~runOrigDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:31:24
    152  100.0%            Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29

    132    3.8%  v8::internal::LargeObjectSpace::AllocateRaw(int, v8::internal::Executability)
    132  100.0%    v8::internal::Runtime_GrowArrayElements(int, v8::internal::Object**, v8::internal::Isolate*)
    132  100.0%      LazyCompile: *derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
    132  100.0%        Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:24:33
    132  100.0%          Function: ~runOrigDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:31:24
    132  100.0%            Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29

    125    3.6%  v8::internal::Factory::SetNumberStringCache(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::String>)
    125  100.0%    v8::internal::Runtime_NumberToString(int, v8::internal::Object**, v8::internal::Isolate*)
    124   99.2%      LazyCompile: *derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
    124  100.0%        Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:24:33
    124  100.0%          Function: ~runOrigDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:31:24
    124  100.0%            Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29

     98    2.8%  v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
     97   99.0%    v8::internal::Runtime_NumberToString(int, v8::internal::Object**, v8::internal::Isolate*)
     97  100.0%      LazyCompile: *derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
     97  100.0%        Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:24:33
     97  100.0%          Function: ~runOrigDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:31:24
     97  100.0%            Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29
      1    1.0%    v8::internal::Runtime_LoadIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
      1  100.0%      Function: ~dirname path.js:1351:28
      1  100.0%        Function: ~Module._resolveLookupPaths module.js:331:38
      1  100.0%          Function: ~Module._resolveFilename module.js:479:35
      1  100.0%            Function: ~Module._load module.js:434:24

     97    2.8%  strlen
     97  100.0%    v8::internal::Runtime_NumberToString(int, v8::internal::Object**, v8::internal::Isolate*)
     97  100.0%      LazyCompile: *derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
     97  100.0%        Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:24:33
     97  100.0%          Function: ~runOrigDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:31:24
     97  100.0%            Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29

     76    2.2%  v8::internal::IncrementalMarking::WhiteToGreyAndPush(v8::internal::HeapObject*)
      1    1.3%    v8::internal::Runtime_NumberToString(int, v8::internal::Object**, v8::internal::Isolate*)
      1  100.0%      LazyCompile: *derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
      1  100.0%        Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:24:33
      1  100.0%          Function: ~runOrigDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:31:24
      1  100.0%            Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29

     69    2.0%  v8::internal::Factory::NewStringFromOneByte(v8::internal::Vector<unsigned char const>, v8::internal::PretenureFlag)
     69  100.0%    v8::internal::Runtime_NumberToString(int, v8::internal::Object**, v8::internal::Isolate*)
     68   98.6%      LazyCompile: *derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
     68  100.0%        Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:24:33
     68  100.0%          Function: ~runOrigDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:31:24
     68  100.0%            Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29
      1    1.4%      Function: ~derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
      1  100.0%        Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:24:33
      1  100.0%          Function: ~runOrigDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:31:24
      1  100.0%            Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29

     63    1.8%  v8::internal::Factory::NumberToString(v8::internal::Handle<v8::internal::Object>, bool)
     63  100.0%    v8::internal::Runtime_NumberToString(int, v8::internal::Object**, v8::internal::Isolate*)
     63  100.0%      LazyCompile: *derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
     63  100.0%        Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:24:33
     63  100.0%          Function: ~runOrigDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:31:24
     63  100.0%            Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29

     57    1.6%  v8::internal::Factory::NewRawOneByteString(int, v8::internal::PretenureFlag)
     57  100.0%    v8::internal::Runtime_NumberToString(int, v8::internal::Object**, v8::internal::Isolate*)
     57  100.0%      LazyCompile: *derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
     57  100.0%        Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:24:33
     57  100.0%          Function: ~runOrigDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:31:24
     57  100.0%            Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29

     50    1.4%  Stub: StringAddStub_ConvertRight_NotTenured
     50  100.0%    LazyCompile: *derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
     50  100.0%      Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:24:33
     50  100.0%        Function: ~runOrigDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:31:24
     50  100.0%          Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29
     50  100.0%            Function: ~<anonymous> /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:1:11

     48    1.4%  Builtin: KeyedLoadIC
     25   52.1%    LazyCompile: *derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
     22   88.0%      Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:24:33
     22  100.0%        Function: ~runOrigDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:31:24
     22  100.0%          Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29
     22  100.0%            Function: ~<anonymous> /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:1:11
      3   12.0%      LazyCompile: *derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
      3  100.0%        Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:24:33
      3  100.0%          Function: ~runOrigDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:31:24
      3  100.0%            Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29
     14   29.2%    Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/fixed_cycle.js:24:33
     14  100.0%      Function: ~runFixedDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:37:25
     14  100.0%        Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29
     14  100.0%          Function: ~<anonymous> /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:1:11
     14  100.0%            Function: ~Module._compile module.js:530:37
      9   18.8%    Handler: prototype
      9  100.0%      Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/fixed_cycle.js:24:33
      9  100.0%        Function: ~runFixedDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:37:25
      9  100.0%          Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29
      9  100.0%            Function: ~<anonymous> /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:1:11

     40    1.2%  v8::internal::PagedSpace::AllocateRawUnaligned(int, v8::internal::PagedSpace::UpdateSkipList)
     40  100.0%    v8::internal::Runtime_NumberToString(int, v8::internal::Object**, v8::internal::Isolate*)
     40  100.0%      LazyCompile: *derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
     40  100.0%        Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:24:33
     40  100.0%          Function: ~runOrigDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:31:24
     40  100.0%            Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29

     40    1.2%  v8::internal::IncrementalMarkingMarkingVisitor::VisitFixedArrayIncremental(v8::internal::Map*, v8::internal::HeapObject*)

     40    1.2%  v8::internal::Factory::GetNumberStringCache(v8::internal::Handle<v8::internal::Object>)
     40  100.0%    v8::internal::Runtime_NumberToString(int, v8::internal::Object**, v8::internal::Isolate*)
     40  100.0%      LazyCompile: *derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
     40  100.0%        Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:24:33
     40  100.0%          Function: ~runOrigDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:31:24
     40  100.0%            Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29

     40    1.2%  node::(anonymous namespace)::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     40  100.0%    v8::internal::Builtin_HandleApiCall(int, v8::internal::Object**, v8::internal::Isolate*)
     25   62.5%      Function: ~runInThisContext bootstrap_node.js:485:28
     25  100.0%        Function: ~NativeModule.compile bootstrap_node.js:574:44
     25  100.0%          Function: ~NativeModule.require bootstrap_node.js:506:34
      4   16.0%            Function: ~Module._load module.js:434:24
      3   12.0%            Function: ~<anonymous> internal/child_process.js:1:11
      3   12.0%            Function: ~<anonymous> http.js:1:11
      3   12.0%            Function: ~<anonymous> fs.js:1:11
      2    8.0%            Function: ~setupGlobalVariables bootstrap_node.js:215:32
      2    8.0%            Function: ~<anonymous> stream.js:1:11
      2    8.0%            Function: ~<anonymous> module.js:1:11
      1    4.0%            Function: ~setupNextTick internal/process/next_tick.js:49:23
      1    4.0%            Function: ~setupInspectorCommandLineAPI bootstrap_node.js:314:40
      1    4.0%            Function: ~<anonymous> util.js:1:11
      1    4.0%            Function: ~<anonymous> timers.js:1:11
      1    4.0%            Function: ~<anonymous> child_process.js:1:11
      1    4.0%            Function: ~<anonymous> _http_common.js:1:11
     15   37.5%      Function: ~createScript vm.js:73:22
     15  100.0%        Function: ~runInThisContext vm.js:115:26
     15  100.0%          Function: ~Module._compile module.js:530:37
     15  100.0%            Function: ~Module._extensions..js module.js:582:37

     38    1.1%  Stub: CEntryStub
     30   78.9%    v8::internal::Runtime_NumberToString(int, v8::internal::Object**, v8::internal::Isolate*)
     30  100.0%      LazyCompile: *derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
     30  100.0%        Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:24:33
     30  100.0%          Function: ~runOrigDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:31:24
     30  100.0%            Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29
      8   21.1%    LazyCompile: *derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
      8  100.0%      Function: ~decycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:24:33
      8  100.0%        Function: ~runOrigDecycle /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:31:24
      8  100.0%          Function: ~runCpuIntensiveTask /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:19:29
      8  100.0%            Function: ~<anonymous> /home/ukrbublik/projs/habr_arcticle_1/0-profiling/app0.js:1:11

